60.173.8.240 - - [05/Nov/2013:11:46:42 +0800] "GET / HTTP/1.1" 404 -
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr HTTP/1.1" 302 -
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/ HTTP/1.1" 200 5549
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/common.css?_=4.4.0 HTTP/1.1" 200 13429
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/analysis.css?_=4.4.0 HTTP/1.1" 200 6070
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/cloud.css?_=4.4.0 HTTP/1.1" 200 6746
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/cores.css?_=4.4.0 HTTP/1.1" 200 3985
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/dashboard.css?_=4.4.0 HTTP/1.1" 200 3352
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/dataimport.css?_=4.4.0 HTTP/1.1" 200 7504
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/index.css?_=4.4.0 HTTP/1.1" 200 4815
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/java-properties.css?_=4.4.0 HTTP/1.1" 200 1185
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/logging.css?_=4.4.0 HTTP/1.1" 200 7751
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/menu.css?_=4.4.0 HTTP/1.1" 200 6063
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/plugins.css?_=4.4.0 HTTP/1.1" 200 4189
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/documents.css?_=4.4.0 HTTP/1.1" 200 3581
219.142.18.122 - - [05/Nov/2013:16:01:12 +0800] "GET /solr/css/styles/query.css?_=4.4.0 HTTP/1.1" 200 2960
